protocol,medium,cc,bandwidth,rtt
QUIC,cellular,BBR,100mbps,67.99285
QUIC,cellular,BBR,100mbps,72.42496
QUIC,cellular,BBR,100mbps,75.09116
QUIC,cellular,BBR,100mbps,71.392365
QUIC,cellular,BBR,100mbps,73.644165
QUIC,cellular,BBR,100mbps,69.71329
QUIC,cellular,BBR,100mbps,72.700424
QUIC,cellular,BBR,100mbps,68.85934
QUIC,cellular,BBR,100mbps,70.599655
QUIC,cellular,BBR,100mbps,73.99808
QUIC,cellular,BBR,100mbps,72.06811
QUIC,cellular,BBR,100mbps,74.11071
QUIC,cellular,BBR,100mbps,72.87427
QUIC,cellular,BBR,100mbps,70.06694
QUIC,cellular,BBR,100mbps,66.47845
QUIC,cellular,BBR,100mbps,71.19274
QUIC,cellular,BBR,100mbps,73.991615
QUIC,cellular,BBR,100mbps,77.455864
QUIC,cellular,BBR,100mbps,72.91837
QUIC,cellular,BBR,100mbps,69.57507
QUIC,cellular,BBR,100mbps,66.30357
QUIC,cellular,BBR,100mbps,69.57466
QUIC,cellular,BBR,100mbps,66.17304
QUIC,cellular,BBR,100mbps,63.37417
QUIC,cellular,BBR,100mbps,61.527023
QUIC,cellular,BBR,100mbps,64.946144
QUIC,cellular,BBR,100mbps,62.245586
QUIC,cellular,BBR,100mbps,59.192356
QUIC,cellular,BBR,100mbps,64.41389
QUIC,cellular,BBR,100mbps,63.159466
QUIC,cellular,BBR,100mbps,62.074844
QUIC,cellular,BBR,100mbps,59.902546
QUIC,cellular,BBR,100mbps,62.796898
QUIC,cellular,BBR,100mbps,64.32564
QUIC,cellular,BBR,100mbps,65.770645
QUIC,cellular,BBR,100mbps,69.87624
QUIC,cellular,BBR,100mbps,70.10574
QUIC,cellular,BBR,100mbps,68.13628
QUIC,cellular,BBR,100mbps,65.853386
QUIC,cellular,BBR,100mbps,63.104137
QUIC,cellular,BBR,100mbps,67.598236
QUIC,cellular,BBR,100mbps,73.75325
QUIC,cellular,BBR,100mbps,76.0815
QUIC,cellular,BBR,100mbps,81.350075
QUIC,cellular,BBR,100mbps,82.07585
QUIC,cellular,BBR,100mbps,80.81562
QUIC,cellular,BBR,100mbps,76.38716
QUIC,cellular,BBR,100mbps,72.47633
QUIC,cellular,BBR,100mbps,72.435585
QUIC,cellular,BBR,100mbps,71.79169
QUIC,cellular,BBR,100mbps,71.719696
QUIC,cellular,BBR,100mbps,72.52831
QUIC,cellular,BBR,100mbps,74.85152
QUIC,cellular,BBR,100mbps,77.46592
QUIC,cellular,BBR,100mbps,80.638054
QUIC,cellular,BBR,100mbps,79.88603
QUIC,cellular,BBR,100mbps,86.53381
QUIC,cellular,BBR,100mbps,85.71114
QUIC,cellular,BBR,100mbps,85.52472
QUIC,cellular,BBR,100mbps,85.766945
QUIC,cellular,BBR,100mbps,84.63917
QUIC,cellular,BBR,100mbps,87.463806
QUIC,cellular,BBR,100mbps,88.08559
QUIC,cellular,BBR,100mbps,90.52297
QUIC,cellular,BBR,100mbps,93.01083
QUIC,cellular,BBR,100mbps,95.218254
QUIC,cellular,BBR,100mbps,97.41091
